=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.10 08:28:43 =~=~=~=~=~=~=~=~=~=~=~=
v-99;echo: v-99, 4
echo: v-99, 0
sp.debug 0 to -99
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.6191,-0.0619, 0.0000,-0.0619,    370877.9, 0.9841735,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370877.9, 0.9841735,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370877.8, 0.9841734,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4235,-0.0423, 0.0000,-0.0423,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0322,-0.0032, 0.0000,-0.0032,    370877.8, 0.9841733,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1789,-0.0179, 0.0000,-0.0179,    370877.8, 0.9841732,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370877.7, 0.9841731,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370877.7, 0.9841731,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5702,-0.0570, 0.0000,-0.0570,    370877.7, 0.9841729,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370877.7, 0.9841730,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370877.7, 0.9841729,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.2278,-0.0228, 0.0000,-0.0228,    370877.6, 0.9841729,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370877.6, 0.9841728,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0167, 0.0017, 0.0000, 0.0017,    370877.6, 0.9841728,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.6191,-0.0619, 0.0000,-0.0619,    370877.5, 0.9841726,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.7658,-0.0766, 0.0000,-6.4808,    370877.7, 0.9841557,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.8147,-0.0815, 0.0000,-6.4858,    370877.8, 0.9841388,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.5213,-0.0521, 0.0000,-6.4566,    370878.0, 0.9841219,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.9615,-0.0961, 0.0000,-6.5007,    370878.2, 0.9841049,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-4.2929,    370878.3, 0.9840937,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.9126,-0.0913, 0.0000,-0.0913,    370878.2, 0.9840935,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.7658,-0.0766, 0.0000,-0.0766,    370878.1, 0.9840933,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.1, 0.9840932,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.4724,-0.0472, 0.0000,-0.0472,    370878.0, 0.9840931,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.0811,-0.0081, 0.0000,-0.0081,    370878.0, 0.9840931,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3256,-0.0326, 0.0000,-0.0326,    370878.0, 0.9840931,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.3746,-0.0375, 0.0000,-0.0375,    370878.0, 0.9840930,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0656, 0.0066, 0.0000, 0.0066,    370878.0, 0.9840930,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370878.0, 0.9840930,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-0.1300,-0.0130, 0.0000,-0.0130,    370877.9, 0.9840929,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000, 0.0656, 0.0066, 0.0000, 0.0066,    370877.9, 0.9840929,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.3528,-0.1353, 0.0000,-0.1353,    370877.8, 0.9840925,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3310,-0.2331, 0.0000,-0.2331,    370877.6, 0.9840919,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.4777,-0.2478, 0.0000,-0.2478,    370877.3, 0.9840913,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.2332,-0.2233, 0.0000,-0.2233,    370877.1, 0.9840907,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.5755,-0.2576, 0.0000,-0.2576,    370876.9, 0.9840900,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.4777,-0.2478, 0.0000,-0.2478,    370876.6, 0.9840893,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-3.0647,-0.3065, 0.0000,-0.3065,    370876.3, 0.9840885,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.7223,-0.2722, 0.0000,-0.2722,    370876.0, 0.9840878,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.6245,-0.2624, 0.0000,-0.2624,    370875.8, 0.9840871,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3310,-0.2331, 0.0000,-0.2331,    370875.5, 0.9840865,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.4288,-0.2429, 0.0000,-0.2429,    370875.3, 0.9840859,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.0375,-0.2038, 0.0000,-0.2038,    370875.1, 0.9840853,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.7441,-0.1744, 0.0000,-0.1744,    370874.9, 0.9840848,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.2332,-0.2233, 0.0000,-0.2233,    370874.7, 0.9840842,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.2821,-0.2282, 0.0000,-0.2282,    370874.5, 0.9840837,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-1.9397,-0.1940, 0.0000,-0.1940,    370874.3, 0.9840831,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.0864,-0.2086, 0.0000,-0.2086,    370874.1, 0.9840826,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.8201,-0.2820, 0.0000,-0.2820,    370873.8, 0.9840818,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.5266,-0.2527, 0.0000,-0.2527,    370873.5, 0.9840811,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.6734,-0.2673, 0.0000,-0.2673,    370873.3, 0.9840804,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.1353,-0.2135, 0.0000,-0.2135,    370873.0, 0.9840799,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.5755,-0.2576, 0.0000,-0.2576,    370872.8, 0.9840792,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3799,-0.2380, 0.0000,-0.2380,    370872.5, 0.9840786,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.4777,-0.2478, 0.0000,-0.2478,    370872.3, 0.9840779,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.4777,-0.2478, 0.0000,-0.2478,    370872.0, 0.9840773,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.3799,-0.2380, 0.0000,-0.2380,    370871.8, 0.9840766,
sat, dt, charge_curr, dq, dq+, ddq, q, soc, 0,  0.1000,-2.8690,-0.2869, 0.0000,-0.2869,    370871.5, 0.9840758,
