=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.25 16:13:48 =~=~=~=~=~=~=~=~=~=~=~=


saved (sp) diffs
 Modeling bitmap              1 ->       247,       [0x] (* Xm)
Reset to defaults? [Y/n]:n N.  moving on...

End setup()

Ib Amp sense ADC pin 13 started using TSC2010
Ib No Amp sense ADC pin 11 started using TSC2010
DS18 1-wire Tb started
Vb sense ADC pin started
Shunt dt(): sample_time_ 34522 sample_time_z_ 34422
Shunt dt(): sample_time_ 34622 sample_time_z_ 34522
Shunt dt(): sample_time_ 34722 sample_time_z_ 34622
Shunt dt(): sample_time_ 34822 sample_time_z_ 34722
Shunt dt(): sample_time_ 34922 sample_time_z_ 34822
Shunt dt(): sample_time_ 35022 sample_time_z_ 34922
Shunt dt(): sample_time_ 35122 sample_time_z_ 35022
1Shunt dt(): sample_time_ 35222 sample_time_z_ 35122
0Shunt dt(): sample_time_ 35322 sample_time_z_ 35222
Shunt dt(): sample_time_ 35422 sample_time_z_ 35322
Shunt dt(): sample_time_ 35522 sample_time_z_ 35422
0Shunt dt(): sample_time_ 35622 sample_time_z_ 35522
Shunt dt(): sample_time_ 35722 sample_time_z_ 35622
Shunt dt(): sample_time_ 35822 sample_time_z_ 35722
Shunt dt(): sample_time_ 35922 sample_time_z_ 35822
Shunt dt(): sample_time_ 36022 sample_time_z_ 35922
0Shunt dt(): sample_time_ 36122 sample_time_z_ 36022
Shunt dt(): sample_time_ 36222 sample_time_z_ 36122
Shunt dt(): sample_time_ 36322 sample_time_z_ 36222
;Shunt dt(): sample_time_ 36422 sample_time_z_ 36322
Shunt dt(): sample_time_ 36522 sample_time_z_ 36422
cmd: Dr1000
 Minor frame               100 ->        100,         ms (  Dr)
 Minor frame               100 ->       1000,         ms (  Dr)
Shunt dt(): sample_time_ 37522 sample_time_z_ 36522
Shunt dt(): sample_time_ 38522 sample_time_z_ 37522
Shunt dt(): sample_time_ 39522 sample_time_z_ 38522
Shunt dt(): sample_time_ 40522 sample_time_z_ 39522
Shunt dt(): sample_time_ 41522 sample_time_z_ 40522
Shunt dt(): sample_time_ 42522 sample_time_z_ 41522
Shunt dt(): sample_time_ 43522 sample_time_z_ 42522
Shunt dt(): sample_time_ 44522 sample_time_z_ 43522
Shunt dt(): sample_time_ 45522 sample_time_z_ 44522
Shunt dt(): sample_time_ 46522 sample_time_z_ 45522
Shunt dt(): sample_time_ 47522 sample_time_z_ 46522
Shunt dt(): sample_time_ 48522 sample_time_z_ 47522
Shunt dt(): sample_time_ 49522 sample_time_z_ 48522
Shunt dt(): sample_time_ 50522 sample_time_z_ 49522
Shunt dt(): sample_time_ 51522 sample_time_z_ 50522
Shunt dt(): sample_time_ 52522 sample_time_z_ 51522
Shunt dt(): sample_time_ 53522 sample_time_z_ 52522
Shunt dt(): sample_time_ 54522 sample_time_z_ 53522
Shunt dt(): sample_time_ 55522 sample_time_z_ 54522
Shunt dt(): sample_time_ 56522 sample_time_z_ 55522
Shunt dt(): sample_time_ 57522 sample_time_z_ 56522
Shunt dt(): sample_time_ 58522 sample_time_z_ 57522
Shunt dt(): sample_time_ 59522 sample_time_z_ 58522
Shunt dt(): sample_time_ 60522 sample_time_z_ 59522
Shunt dt(): sample_time_ 61522 sample_time_z_ 60522
Shunt dt(): sample_time_ 62522 sample_time_z_ 61522
Shunt dt(): sample_time_ 63522 sample_time_z_ 62522
Shunt dt(): sample_time_ 64522 sample_time_z_ 63522
Shunt dt(): sample_time_ 65522 sample_time_z_ 64522
Shunt dt(): sample_time_ 66522 sample_time_z_ 65522
Shunt dt(): sample_time_ 67522 sample_time_z_ 66522
Shunt dt(): sample_time_ 68522 sample_time_z_ 67522
Shunt dt(): sample_time_ 69522 sample_time_z_ 68522
Shunt dt(): sample_time_ 70522 sample_time_z_ 69522
Shunt dt(): sample_time_ 71522 sample_time_z_ 70522
Shunt dt(): sample_time_ 72522 sample_time_z_ 71522
Shunt dt(): sample_time_ 73522 sample_time_z_ 72522
Shunt dt(): sample_time_ 74522 sample_time_z_ 73522
Shunt dt(): sample_time_ 75522 sample_time_z_ 74522
Shunt dt(): sample_time_ 76522 sample_time_z_ 75522
Shunt dt(): sample_time_ 77522 sample_time_z_ 76522
Shunt dt(): sample_time_ 78522 sample_time_z_ 77522
Shunt dt(): sample_time_ 79522 sample_time_z_ 78522
Shunt dt(): sample_time_ 80522 sample_time_z_ 79522
Shunt dt(): sample_time_ 81522 sample_time_z_ 80522
Shunt dt(): sample_time_ 82522 sample_time_z_ 81522
Shunt dt(): sample_time_ 83522 sample_time_z_ 82522
Shunt dt(): sample_time_ 84522 sample_time_z_ 83522
Shunt dt(): sample_time_ 85522 sample_time_z_ 84522
Shunt dt(): sample_time_ 86522 sample_time_z_ 85522
Shunt dt(): sample_time_ 87522 sample_time_z_ 86522
Shunt dt(): sample_time_ 88522 sample_time_z_ 87522
Shunt dt(): sample_time_ 89522 sample_time_z_ 88522
Shunt dt(): sample_time_ 90522 sample_time_z_ 89522
Shunt dt(): sample_time_ 91522 sample_time_z_ 90522
Shunt dt(): sample_time_ 92522 sample_time_z_ 91522
Shunt dt(): sample_time_ 93522 sample_time_z_ 92522
Shunt dt(): sample_time_ 94522 sample_time_z_ 93522
Shunt dt(): sample_time_ 95522 sample_time_z_ 94522
Shunt dt(): sample_time_ 96522 sample_time_z_ 95522
Shunt dt(): sample_time_ 97522 sample_time_z_ 96522
Shunt dt(): sample_time_ 98522 sample_time_z_ 97522
Shunt dt(): sample_time_ 99522 sample_time_z_ 98522
Shunt dt(): sample_time_ 100522 sample_time_z_ 99522
Shunt dt(): sample_time_ 101522 sample_time_z_ 100522
Shunt dt(): sample_time_ 102522 sample_time_z_ 101522
Shunt dt(): sample_time_ 103522 sample_time_z_ 102522
Shunt dt(): sample_time_ 104522 sample_time_z_ 103522
Shunt dt(): sample_time_ 105522 sample_time_z_ 104522
Shunt dt(): sample_time_ 106522 sample_time_z_ 105522
Shunt dt(): sample_time_ 107522 sample_time_z_ 106522
Shunt dt(): sample_time_ 108522 sample_time_z_ 107522
Shunt dt(): sample_time_ 109522 sample_time_z_ 108522
Shunt dt(): sample_time_ 110522 sample_time_z_ 109522
Shunt dt(): sample_time_ 111522 sample_time_z_ 110522
Shunt dt(): sample_time_ 112522 sample_time_z_ 111522
Shunt dt(): sample_time_ 113522 sample_time_z_ 112522
Shunt dt(): sample_time_ 114522 sample_time_z_ 113522
Shunt dt(): sample_time_ 115522 sample_time_z_ 114522
Shunt dt(): sample_time_ 116522 sample_time_z_ 115522
Shunt dt(): sample_time_ 117522 sample_time_z_ 116522
Shunt dt(): sample_time_ 118522 sample_time_z_ 117522
Shunt dt(): sample_time_ 119522 sample_time_z_ 118522
Shunt dt(): sample_time_ 120522 sample_time_z_ 119522
Shunt dt(): sample_time_ 121522 sample_time_z_ 120522
Shunt dt(): sample_time_ 122522 sample_time_z_ 121522
Shunt dt(): sample_time_ 123522 sample_time_z_ 122522
Shunt dt(): sample_time_ 124522 sample_time_z_ 123522
Shunt dt(): sample_time_ 125522 sample_time_z_ 124522
Shunt dt(): sample_time_ 126522 sample_time_z_ 125522
Shunt dt(): sample_time_ 127522 sample_time_z_ 126522
Shunt dt(): sample_time_ 128522 sample_time_z_ 127522
Shunt dt(): sample_time_ 129522 sample_time_z_ 128522
Shunt dt(): sample_time_ 130522 sample_time_z_ 129522
Shunt dt(): sample_time_ 131522 sample_time_z_ 130522
Shunt dt(): sample_time_ 132522 sample_time_z_ 131522
Shunt dt(): sample_time_ 133522 sample_time_z_ 132522
Shunt dt(): sample_time_ 134522 sample_time_z_ 133522
Shunt dt(): sample_time_ 135522 sample_time_z_ 134522
Shunt dt(): sample_time_ 136522 sample_time_z_ 135522
Shunt dt(): sample_time_ 137522 sample_time_z_ 136522
Shunt dt(): sample_time_ 138522 sample_time_z_ 137522
Shunt dt(): sample_time_ 139522 sample_time_z_ 138522
Shunt dt(): sample_time_ 140522 sample_time_z_ 139522
Shunt dt(): sample_time_ 141522 sample_time_z_ 140522
Shunt dt(): sample_time_ 142522 sample_time_z_ 141522
Shunt dt(): sample_time_ 143522 sample_time_z_ 142522
Shunt dt(): sample_time_ 144522 sample_time_z_ 143522
Shunt dt(): sample_time_ 145522 sample_time_z_ 144522
Shunt dt(): sample_time_ 146522 sample_time_z_ 145522
Shunt dt(): sample_time_ 147522 sample_time_z_ 146522
Shunt dt(): sample_time_ 148522 sample_time_z_ 147522
Shunt dt(): sample_time_ 149522 sample_time_z_ 148522
Shunt dt(): sample_time_ 150522 sample_time_z_ 149522
Shunt dt(): sample_time_ 151522 sample_time_z_ 150522
Shunt dt(): sample_time_ 152522 sample_time_z_ 151522
Shunt dt(): sample_time_ 153522 sample_time_z_ 152522
Shunt dt(): sample_time_ 154522 sample_time_z_ 153522
Shunt dt(): sample_time_ 155522 sample_time_z_ 154522
Shunt dt(): sample_time_ 156522 sample_time_z_ 155522
Shunt dt(): sample_time_ 157522 sample_time_z_ 156522
Shunt dt(): sample_time_ 158522 sample_time_z_ 157522
Shunt dt(): sample_time_ 159522 sample_time_z_ 158522
Shunt dt(): sample_time_ 160522 sample_time_z_ 159522
Shunt dt(): sample_time_ 161522 sample_time_z_ 160522
Shunt dt(): sample_time_ 162522 sample_time_z_ 161522
Shunt dt(): sample_time_ 163522 sample_time_z_ 162522
Shunt dt(): sample_time_ 164522 sample_time_z_ 163522
Shunt dt(): sample_time_ 165522 sample_time_z_ 164522
Shunt dt(): sample_time_ 166522 sample_time_z_ 165522
Shunt dt(): sample_time_ 167522 sample_time_z_ 166522
Shunt dt(): sample_time_ 168522 sample_time_z_ 167522
Shunt dt(): sample_time_ 169522 sample_time_z_ 168522
Shunt dt(): sample_time_ 170522 sample_time_z_ 169522
Shunt dt(): sample_time_ 171522 sample_time_z_ 170522
Shunt dt(): sample_time_ 172522 sample_time_z_ 171522
Shunt dt(): sample_time_ 173522 sample_time_z_ 172522
Shunt dt(): sample_time_ 174522 sample_time_z_ 173522
Shunt dt(): sample_time_ 175522 sample_time_z_ 174522
Shunt dt(): sample_time_ 176522 sample_time_z_ 175522
Shunt dt(): sample_time_ 177522 sample_time_z_ 176522
Shunt dt(): sample_time_ 178522 sample_time_z_ 177522
Shunt dt(): sample_time_ 179522 sample_time_z_ 178522
Shunt dt(): sample_time_ 180522 sample_time_z_ 179522
Shunt dt(): sample_time_ 181522 sample_time_z_ 180522
Shunt dt(): sample_time_ 182522 sample_time_z_ 181522
Shunt dt(): sample_time_ 183522 sample_time_z_ 182522
Shunt dt(): sample_time_ 184522 sample_time_z_ 183522
Shunt dt(): sample_time_ 185522 sample_time_z_ 184522
Shunt dt(): sample_time_ 186522 sample_time_z_ 185522
Shunt dt(): sample_time_ 187522 sample_time_z_ 186522
Shunt dt(): sample_time_ 188522 sample_time_z_ 187522
Shunt dt(): sample_time_ 189522 sample_time_z_ 188522
Shunt dt(): sample_time_ 190522 sample_time_z_ 189522
Shunt dt(): sample_time_ 191522 sample_time_z_ 190522
Shunt dt(): sample_time_ 192522 sample_time_z_ 191522
Shunt dt(): sample_time_ 193522 sample_time_z_ 192522
Shunt dt(): sample_time_ 194522 sample_time_z_ 193522
Shunt dt(): sample_time_ 195522 sample_time_z_ 194522
Shunt dt(): sample_time_ 196522 sample_time_z_ 195522
Shunt dt(): sample_time_ 197522 sample_time_z_ 196522
Shunt dt(): sample_time_ 198522 sample_time_z_ 197522
Shunt dt(): sample_time_ 199522 sample_time_z_ 198522
Shunt dt(): sample_time_ 200522 sample_time_z_ 199522
Shunt dt(): sample_time_ 201522 sample_time_z_ 200522
Shunt dt(): sample_time_ 202522 sample_time_z_ 201522
Shunt dt(): sample_time_ 203522 sample_time_z_ 202522
Shunt dt(): sample_time_ 204522 sample_time_z_ 203522
Shunt dt(): sample_time_ 205522 sample_time_z_ 204522
Shunt dt(): sample_time_ 206522 sample_time_z_ 205522
Shunt dt(): sample_time_ 207522 sample_time_z_ 206522
Shunt dt(): sample_time_ 208522 sample_time_z_ 207522
Shunt dt(): sample_time_ 209522 sample_time_z_ 208522
Shunt dt(): sample_time_ 210522 sample_time_z_ 209522
Shunt dt(): sample_time_ 211522 sample_time_z_ 210522
Shunt dt(): sample_time_ 212522 sample_time_z_ 211522
Shunt dt(): sample_time_ 213522 sample_time_z_ 212522
Shunt dt(): sample_time_ 214522 sample_time_z_ 213522
Shunt dt(): sample_time_ 215522 sample_time_z_ 214522
Shunt dt(): sample_time_ 216522 sample_time_z_ 215522
Shunt dt(): sample_time_ 217522 sample_time_z_ 216522
Shunt dt(): sample_time_ 218522 sample_time_z_ 217522
Shunt dt(): sample_time_ 219522 sample_time_z_ 218522
Shunt dt(): sample_time_ 220522 sample_time_z_ 219522
Shunt dt(): sample_time_ 221522 sample_time_z_ 220522
Shunt dt(): sample_time_ 222522 sample_time_z_ 221522
Shunt dt(): sample_time_ 223522 sample_time_z_ 222522
Shunt dt(): sample_time_ 224522 sample_time_z_ 223522
Shunt dt(): sample_time_ 225522 sample_time_z_ 224522
Shunt dt(): sample_time_ 226522 sample_time_z_ 225522
Shunt dt(): sample_time_ 227522 sample_time_z_ 226522
Shunt dt(): sample_time_ 228522 sample_time_z_ 227522
Shunt dt(): sample_time_ 229522 sample_time_z_ 228522
Shunt dt(): sample_time_ 230522 sample_time_z_ 229522
Shunt dt(): sample_time_ 231522 sample_time_z_ 230522
Shunt dt(): sample_time_ 232522 sample_time_z_ 231522
Shunt dt(): sample_time_ 233522 sample_time_z_ 232522
