soc=  1.000, modeling = 7, delta_q=  0.000, soc_model=  1.0000,   delta_q_model=  0.000, soc_ekf=  1.0000, delta_q_ekf=  0.000,
soft reset...
ReadSensors from 100 to 100
100
modeling from 7 to 7
Modeling is 7
tweak_test is 0
mod_ib is 1
mod_vb is 1
mod_tb is 1
Small reset. Filters reinit
soft reset...
ShuntAmp.add from -500.000 to -500.000
ShuntNoAmp.add from   0.001 to   0.001
unit_sel, 52587490.332, 0, 0,    0, 0,      -0.000086, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.13088, 1, 10.13088,    0.00,25.00, 1, 25.00, 
unit,               hm,                  cTime,       dt,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,,
unit_sel,c_time,res,user_sel,   m_bare,n_bare,  cc_dif,cc_flt,  ibmh,ibnh,ibmm,ibnm,ibm,                     ib_dif,ib_dif_flt,ib_dif_fa,  ib_sel,Ib_h,Ib_m,mib,Ib,            Vb_h,Vb_m,mvb,Vb,                  Tb_h,Tb,mtb,Tb_f,
pro_20220723, 2022-07-30T08:08:06,  52587492.232, 0.100,   1,  0,  7,  25.00,10.76999,-500.00000,    13.80000,-6.15000,16.92286,14.20057,   2.722288, 1.00000,0.99770,0.99722,
unit_sel, 52587492.332, 0, 0,    0, 0,       0.000475, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.77452, 1, 10.77452,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.332, 0.100,   1,  0,  7,  25.00,10.77452,-500.00000,    13.80000,-6.15000,16.92753,14.18808,   2.739448, 1.00000,0.99761,0.99708,
unit_sel, 52587492.432, 0, 0,    0, 0,       0.000527, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.77905, 1, 10.77905,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.432, 0.100,   1,  0,  7,  25.00,10.77905,-500.00000,    13.80000,-6.15000,16.93219,14.17585,   2.756337, 1.00000,0.99753,0.99694,
unit_sel, 52587492.532, 0, 0,    0, 0,       0.000581, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.78357, 1, 10.78357,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.532, 0.100,   1,  0,  7,  25.00,10.78357,-500.00000,    13.80000,-6.15000,16.93685,14.16390,   2.772944, 1.00000,0.99744,0.99681,
unit_sel, 52587492.632, 0, 0,    0, 0,       0.000636, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.78808, 1, 10.78808,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:06,  52587492.632, 0.100,   1,  0,  7,  25.00,10.78808,-500.00000,    13.80000,-6.15000,16.94150,14.15221,   2.789289, 1.00000,0.99736,0.99667,
unit_sel, 52587492.732, 0, 0,    0, 0,       0.000693, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.43912,10.79259, 1, 10.79259,    0.00,25.00, 1, 25.00, 
