t,"  vb, real","vb, im",  ib,b2:c4098
778.20000000298,12.753,0,-17.565,
778.400000005961,12.745,0,-16.65,
778.600000008941,12.753,0,-17.26,
778.79999999702,12.779,0,-17.565,
779,12.775,0,-17.321,
779.20000000298,12.719,0,-17.382,
779.400000005961,12.809,0,-17.199,
779.600000008941,12.77,0,-16.589,
779.79999999702,12.779,0,-17.626,
780,12.749,0,-17.626,
780.20000000298,12.671,0,-16.894,
780.400000005961,12.749,0,-17.443,
780.600000008941,12.758,0,-17.138,
780.79999999702,12.77,0,-17.382,
781,12.702,0,-17.016,
781.20000000298,12.736,0,-16.894,
781.400000005961,12.727,0,-17.443,
781.600000008941,12.736,0,-17.199,
781.79999999702,12.663,0,-17.26,
782,12.71,0,-16.894,
782.20000000298,12.74,0,-16.772,
782.400000005961,12.745,0,-17.382,
782.600000008941,12.762,0,-17.382,
782.79999999702,12.77,0,-17.199,
783,12.796,0,-17.138,
783.20000000298,12.783,0,-16.711,
783.400000005961,12.68,0,-17.26,
783.600000008941,12.719,0,-17.199,
783.79999999702,12.706,0,-17.443,
784,12.783,0,-17.321,
784.20000000298,12.745,0,-17.443,
784.400000005961,12.749,0,-17.199,
784.600000008941,12.745,0,-17.504,
784.79999999702,12.723,0,-17.321,
785,12.702,0,-17.26,
785.20000000298,12.697,0,-17.321,
785.400000005961,12.745,0,-17.138,
785.600000008941,12.727,0,-17.199,
785.79999999702,12.758,0,-16.833,
786,12.762,0,-17.016,
786.20000000298,12.74,0,-17.138,
786.400000005961,12.792,0,-17.321,
786.600000008941,12.788,0,-17.016,
786.79999999702,12.745,0,-16.955,
787,12.796,0,-16.772,
787.20000000298,12.783,0,-17.077,
787.400000005961,12.706,0,-17.504,
787.600000008941,12.758,0,-17.077,
787.79999999702,12.809,0,-17.504,
788,12.689,0,-17.016,
788.20000000298,12.715,0,-17.321,
788.400000005961,12.723,0,-17.443,
788.600000008941,12.715,0,-17.26,
788.79999999702,12.723,0,-17.504,
789,12.74,0,-17.016,
789.20000000298,12.637,0,-17.199,
789.400000005961,12.745,0,-17.26,
789.600000008941,12.766,0,-17.199,
789.79999999702,12.766,0,-17.26,
790,12.77,0,-16.955,
790.20000000298,12.654,0,-16.955,
790.400000005961,12.766,0,-17.077,
790.600000008941,12.792,0,-17.016,
790.79999999702,12.77,0,-17.443,
791,12.74,0,-17.077,
791.20000000298,12.753,0,-16.894,
791.400000005961,12.783,0,-17.016,
791.600000008941,12.727,0,-17.138,
791.79999999702,12.697,0,-17.26,
792,12.676,0,-17.626,
792.20000000298,12.706,0,-17.138,
792.400000005961,12.719,0,-17.26,
792.600000008941,12.758,0,-17.443,
792.79999999702,12.77,0,-17.199,
793,12.65,0,-16.833,
793.20000000298,12.723,0,-16.833,
793.400000005961,12.766,0,-17.504,
793.600000008941,12.775,0,-17.443,
793.79999999702,12.745,0,-17.321,
794,12.775,0,-17.443,
794.20000000298,12.753,0,-17.443,
794.400000005961,12.723,0,-17.26,
794.600000008941,12.745,0,-17.747,
794.79999999702,12.723,0,-17.26,
795,12.758,0,-17.199,
795.20000000298,12.736,0,-16.955,
795.400000005961,12.736,0,-17.138,
795.600000008941,12.723,0,-17.199,
795.79999999702,12.689,0,-16.833,
796,12.736,0,-16.894,
796.20000000298,12.77,0,-16.833,
796.400000005961,12.736,0,-17.199,
796.600000008941,12.74,0,-17.077,
796.79999999702,12.749,0,-17.138,
797,12.762,0,-17.077,
797.20000000298,12.792,0,-17.199,
797.400000005961,12.753,0,-17.016,
797.600000008941,12.775,0,-17.138,
